Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 20:42:02.738502,7.4,46.2,7880.933376,716,67
2024-05-29 20:42:07.971103,6.8,46.2,7884.214272,716,67
2024-05-29 20:42:13.237184,7.2,46.2,7884.00128,716,67
2024-05-29 20:42:18.473323,7.3,46.2,7884.853248,716,67
2024-05-29 20:42:23.721259,8.3,46.2,7883.399168,716,67
2024-05-29 20:42:28.982513,8.2,46.2,7884.500992,716,67
2024-05-29 20:42:34.223068,7.6,46.2,7883.022336,716,67
2024-05-29 20:42:39.473588,6.7,46.2,7880.31488,716,67
2024-05-29 20:42:44.719501,6.9,46.2,7884.058624,716,67
2024-05-29 20:42:49.942290,6.8,46.2,7881.40032,716,67
2024-05-29 20:42:55.175437,7.2,46.2,7879.651328,716,67
2024-05-29 20:43:00.426066,6.8,46.1,7878.393856,716,67
2024-05-29 20:43:05.660495,7.3,46.2,7879.954432,716,67
2024-05-29 20:43:10.910187,7.1,46.1,7879.897088,716,67
2024-05-29 20:43:16.160627,7.6,46.2,7880.208384,716,67
2024-05-29 20:43:21.411228,6.9,45.9,7835.521024,716,67
2024-05-29 20:43:26.661155,7.0,45.9,7833.243648,716,67
2024-05-29 20:43:31.895709,6.7,45.9,7833.489408,716,67
2024-05-29 20:43:37.144016,6.3,45.9,7835.475968,716,67
2024-05-29 20:43:42.379706,6.7,45.9,7835.029504,716,67
2024-05-29 20:43:47.624866,6.7,45.9,7837.216768,716,67
2024-05-29 20:43:52.860304,6.8,45.9,7833.98912,716,67
2024-05-29 20:43:58.127531,6.9,45.9,7835.205632,716,67
2024-05-29 20:44:03.378708,7.6,45.9,7834.759168,716,67
2024-05-29 20:44:08.611520,7.3,45.9,7834.750976,716,67
2024-05-29 20:44:13.846693,7.6,45.9,7836.73344,716,67
2024-05-29 20:44:19.097272,7.2,45.9,7833.808896,716,67
2024-05-29 20:44:24.318920,7.7,45.9,7839.584256,716,67
2024-05-29 20:44:29.553362,7.1,45.9,7834.624,716,67
2024-05-29 20:44:34.800400,6.7,45.9,7837.626368,716,67
2024-05-29 20:44:40.039381,6.7,45.9,7837.3888,716,67
2024-05-29 20:44:45.269582,6.8,45.9,7838.355456,716,67
2024-05-29 20:44:50.505181,6.8,45.9,7836.561408,716,67
